id,name,price,type
31,item31,1000,1
32,item32,2000,1
33,item33,3000,1
34,item34,4000,1
35,item35,5000,1
36,item36,6000,1
37,item37,7000,1
38,item38,8000,1
39,item39,9000,1
40,item40,10000,1
41,item41,11000,2
42,item42,12000,2
43,item43,13000,2
44,item44,14000,2
45,item45,15000,2
46,item46,16000,2
47,item47,17000,2
48,item48,18000,2
49,item49,19000,2
50,item50,20000,2
51,item51,21000,3
52,item52,22000,3
53,item53,23000,3
54,item54,24000,3
55,item55,25000,3
56,item56,26000,3
57,item57,27000,3
58,item58,28000,3
59,item59,29000,3
60,item50,30000,3
